judul,narasi,clear,token_komen,freq_words,stemmed_komen,polarity_score,polarity,score
"jangan ke Kokas dulu ya, mall di lockdown karena salah satu staff diatas ada yang suspect Covid-19","OMD Indonesia, Office Tower 33rd Floor Unit H, Jl. Casablanca Raya Kav. 88, Jakarta Selatan 12870. jangan ke Kokas dulu ya, mall di lockdown karena salah satu staff diatas ada yang suspect Covid-19,",omd indonesia office tower rd floor unit h jl casablanca raya kav jakarta selatan jangan kokas dulu mall lockdown salah satu staff diatas yang suspect covid,"['omd', 'indonesia', 'office', 'tower', 'rd', 'floor', 'unit', 'h', 'jl', 'casablanca', 'raya', 'kav', 'jakarta', 'selatan', 'jangan', 'kokas', 'dulu', 'mall', 'lockdown', 'salah', 'satu', 'staff', 'diatas', 'yang', 'suspect', 'covid']",<FreqDist with 26 samples and 26 outcomes>,"['omd', 'indonesia', 'office', 'tower', 'rd', 'floor', 'unit', 'h', 'jl', 'casablanca', 'raya', 'kav', 'jakarta', 'selatan', 'jangan', 'kokas', 'dulu', 'mall', 'lockdown', 'salah', 'satu', 'staff', 'atas', 'yang', 'suspect', 'covid']",-14,negative,-1
minuman beralkohol bisa mengurangi risiko infeksi dari novel coronavirus; COVID-19,"Setelah penelitian yang luas, temuan kami menunjukkan bahwa mengonsumsi minuman beralkohol dapat membantu mengurangi risiko infeksi oleh coronavirus baru; COVID-19. Vodka paling direkomendasikan untuk minum, membersihkan, dan membersihkan.",penelitian luas temuan menunjukkan mengonsumsi minuman beralkohol membantu mengurangi risiko infeksi coronavirus baru covid vodka paling direkomendasikan minum membersihkan membersihkan,"['penelitian', 'luas', 'temuan', 'menunjukkan', 'mengonsumsi', 'minuman', 'beralkohol', 'membantu', 'mengurangi', 'risiko', 'infeksi', 'coronavirus', 'baru', 'covid', 'vodka', 'paling', 'direkomendasikan', 'minum', 'membersihkan', 'membersihkan']",<FreqDist with 19 samples and 20 outcomes>,"['teliti', 'luas', 'temu', 'tunjuk', 'konsumsi', 'minum', 'alkohol', 'bantu', 'kurang', 'risiko', 'infeksi', 'coronavirus', 'baru', 'covid', 'vodka', 'paling', 'rekomendasi', 'minum', 'bersih', 'bersih']",-20,negative,-1
"Foto Anak Durhaka berubah menjadi Buaya di Gunung Picung, Kecamatan Tenjolaya, Kabupaten Bogor","Warga Bogor belakangan dihebohkan dengan kasus anak yang dikutuk ibunya. Anak itu dikutuk jadi batu oleh sang ibu di Gunung Picung, Kabupaten Bogor. Banyak pihak yang bertanya-tanya tentang kebenaran berita tersebut. Sebab, berita anak berubah jadi batu berkembang cepat melalui media sosial Facebook",warga bogor belakangan dihebohkan kasus anak dikutuk ibunya anak dikutuk jadi batu sang ibu gunung picung kabupaten bogor banyak pihak bertanyatanya kebenaran berita tersebut berita anak berubah jadi batu berkembang cepat melalui media sosial facebook,"['warga', 'bogor', 'belakangan', 'dihebohkan', 'kasus', 'anak', 'dikutuk', 'ibunya', 'anak', 'dikutuk', 'jadi', 'batu', 'sang', 'ibu', 'gunung', 'picung', 'kabupaten', 'bogor', 'banyak', 'pihak', 'bertanyatanya', 'kebenaran', 'berita', 'tersebut', 'berita', 'anak', 'berubah', 'jadi', 'batu', 'berkembang', 'cepat', 'melalui', 'media', 'sosial', 'facebook']",<FreqDist with 28 samples and 35 outcomes>,"['warga', 'bogor', 'belakang', 'heboh', 'kasus', 'anak', 'kutuk', 'ibu', 'anak', 'kutuk', 'jadi', 'batu', 'sang', 'ibu', 'gunung', 'picung', 'kabupaten', 'bogor', 'banyak', 'pihak', 'bertanyatanya', 'benar', 'berita', 'sebut', 'berita', 'anak', 'ubah', 'jadi', 'batu', 'kembang', 'cepat', 'lalu', 'media', 'sosial', 'facebook']",-15,negative,-1
Keren yah.Mobil SITAAN.Masih bisa keluar.Maha Benar Lembaga Tersuci,Keren yah.Mobil SITAAN.Masih bisa keluar.Maha Benar Lembaga Tersuci,keren yahmobil sitaanmasih keluarmaha benar lembaga tersuci,"['keren', 'yahmobil', 'sitaanmasih', 'keluarmaha', 'benar', 'lembaga', 'tersuci']",<FreqDist with 7 samples and 7 outcomes>,"['keren', 'yahmobil', 'sitaanmasih', 'keluarmaha', 'benar', 'lembaga', 'suci']",-5,negative,-1
Foto Pekerja SUTET Setelah Peristiwa Mati Listrik Jakarta-Jabar-Banten,Sabar ya…. Mrk tengah berusaha benerin,sabar ya… mrk tengah berusaha benerin,"['sabar', 'ya…', 'mrk', 'tengah', 'berusaha', 'benerin']",<FreqDist with 6 samples and 6 outcomes>,"['sabar', 'ya', 'mrk', 'tengah', 'usaha', 'benerin']",7,positive,1
OKTOBER 2019 PRABOWO-SANDI DILANTIK,"Jkw menang di pilpres 2019 tapi gak otomatis bisa dilantik. _*Kenapa?*_
 Karena *Pasal 6 UUD 1945* mengharuskan agar pemenang pilpres harus menang di 50% wilayah provinsi dan tidak boleh ada suara di wilayah provinsi yang di bawah 20 persen.",jkw menang pilpres gak otomatis dilantik pasal uud mengharuskan pemenang pilpres menang wilayah provinsi tidak ada suara wilayah provinsi di bawah persen,"['jkw', 'menang', 'pilpres', 'gak', 'otomatis', 'dilantik', 'pasal', 'uud', 'mengharuskan', 'pemenang', 'pilpres', 'menang', 'wilayah', 'provinsi', 'tidak', 'ada', 'suara', 'wilayah', 'provinsi', 'di', 'bawah', 'persen']",<FreqDist with 18 samples and 22 outcomes>,"['jkw', 'menang', 'pilpres', 'gak', 'otomatis', 'lantik', 'pasal', 'uud', 'harus', 'menang', 'pilpres', 'menang', 'wilayah', 'provinsi', 'tidak', 'ada', 'suara', 'wilayah', 'provinsi', 'di', 'bawah', 'persen']",-1,negative,-1
Ada penampakan Jin mata sipit di belakang hakim MK,"Ada penampakan Jin mata sipit di belakang hakim MK .
Saya kira editan tapi ternyata asli lihat di video @fuadbakh.
Jangan2 cina2 taipan intervensi MK.",penampakan jin mata sipit belakang hakim mk saya kira editan ternyata asli lihat video jangan cina taipan intervensi mk,"['penampakan', 'jin', 'mata', 'sipit', 'belakang', 'hakim', 'mk', 'saya', 'kira', 'editan', 'ternyata', 'asli', 'lihat', 'video', 'jangan', 'cina', 'taipan', 'intervensi', 'mk']",<FreqDist with 18 samples and 19 outcomes>,"['tampak', 'jin', 'mata', 'sipit', 'belakang', 'hakim', 'mk', 'saya', 'kira', 'edit', 'nyata', 'asli', 'lihat', 'video', 'jangan', 'cina', 'taipan', 'intervensi', 'mk']",-6,negative,-1
Ahok Gantikan Maruf Amin?,Ahok Gantikan Ma’ruf Amin?,ahok gantikan ma ’ ruf amin,"['ahok', 'gantikan', 'ma', '’', 'ruf', 'amin']",<FreqDist with 6 samples and 6 outcomes>,"['ahok', 'ganti', 'ma', '', 'ruf', 'amin']",0,neutral,0
Tusuk Gigi dan Kunyit Pendeteksi Borax,"Simbol KB 2JARI di daerah Bantul projotamansari dipaksa tutup terpal. Setdaah…udeh kronis amat ame 2JARI, tuh patung kaga salah ape2 lo blongsongi pake terpal kaya buah nangka. Paraah coyy…",simbol kb jari daerah bantul projotamansari dipaksa tutup terpal setdaah…udeh kronis ame jari tuh patung kaga salah ape lo blongsongi pake terpal kaya buah nangka paraah coyy…,"['simbol', 'kb', 'jari', 'daerah', 'bantul', 'projotamansari', 'dipaksa', 'tutup', 'terpal', 'setdaah…udeh', 'kronis', 'ame', 'jari', 'tuh', 'patung', 'kaga', 'salah', 'ape', 'lo', 'blongsongi', 'pake', 'terpal', 'kaya', 'buah', 'nangka', 'paraah', 'coyy…']",<FreqDist with 25 samples and 27 outcomes>,"['simbol', 'kb', 'jari', 'daerah', 'bantul', 'projotamansari', 'paksa', 'tutup', 'terpal', 'setdaah udeh', 'kronis', 'ame', 'jari', 'tuh', 'patung', 'kaga', 'salah', 'ape', 'lo', 'blongsongi', 'pake', 'terpal', 'kaya', 'buah', 'nangka', 'paraah', 'coyy']",-27,negative,-1
Polri Minta Kominfo Blokir Situs SkandalSandiaga.com,"“Kita sudah komunikasi dengan Kemenkominfo untuk memblokir situs tersebut ya,” kata Kabid Humas Polda Metro Jaya, Kombes Argo Yuwono, Selasa (25/9).",“ kita komunikasi kemenkominfo memblokir situs tersebut ya ” kata kabid humas polda metro jaya kombes argo yuwono selasa,"['“', 'kita', 'komunikasi', 'kemenkominfo', 'memblokir', 'situs', 'tersebut', 'ya', '”', 'kata', 'kabid', 'humas', 'polda', 'metro', 'jaya', 'kombes', 'argo', 'yuwono', 'selasa']",<FreqDist with 19 samples and 19 outcomes>,"['', 'kita', 'komunikasi', 'kemenkominfo', 'blokir', 'situs', 'sebut', 'ya', '', 'kata', 'kabid', 'humas', 'polda', 'metro', 'jaya', 'kombes', 'argo', 'yuwono', 'selasa']",5,positive,1
"Penculikan Anak di Kusan Hilir, Kabupaten Tanah Bumbu, Kalimantan Selatan",TERJADI DI DS. BATUAH & DS.,terjadi ds batuah ds,"['terjadi', 'ds', 'batuah', 'ds']",<FreqDist with 3 samples and 4 outcomes>,"['jadi', 'ds', 'batuah', 'ds']",3,positive,1
Video Jokowi Bagi-Bagi Duit 2016 Dipelintir,"Dari penelusuran yang dilakukan Jawa Pos, video itu sebenarnya sudah lama. Sejak 2016 sudah beredar di media sosial.",penelusuran dilakukan jawa pos video sebenarnya lama sejak beredar media sosial,"['penelusuran', 'dilakukan', 'jawa', 'pos', 'video', 'sebenarnya', 'lama', 'sejak', 'beredar', 'media', 'sosial']",<FreqDist with 11 samples and 11 outcomes>,"['telusur', 'laku', 'jawa', 'pos', 'video', 'benar', 'lama', 'sejak', 'edar', 'media', 'sosial']",6,positive,1
Siap-siap Konsumsi Garam Impor dari China,“Siap-siap komsumsi garam impor dari china,“ siapsiap komsumsi garam impor china,"['“', 'siapsiap', 'komsumsi', 'garam', 'impor', 'china']",<FreqDist with 6 samples and 6 outcomes>,"['', 'siapsiap', 'komsumsi', 'garam', 'impor', 'china']",0,neutral,0
BAHAYA MEMBERI UCAPAN SELAMAT DENGAN .GIF DI WHATSAPP,Info sangat penting,info sangat penting,"['info', 'sangat', 'penting']",<FreqDist with 3 samples and 3 outcomes>,"['info', 'sangat', 'penting']",-6,negative,-1
Lowongan Kerja Garuda Indonesia,"PT. Garuda Indonesia (Persero) Tbk. mengundang Anda yang menarik, muda dan enerjik untuk bergabung bersama kami sebagai Pramugari Udara, serta dapatkan kesenangan berkeliling dunia dan memperkenalkan keramahan Indonesia.
JIKA BERMINAT SILAHKAN KIRIMKAN SURAT DAN CV LAMARAN VIA EMAIL KE: Recruitment@garuda-Indonesia.asia
Kisaran Gaji Rp. 4.500.000 sampai Rp. 19.500.000
Tergantung Posisi",pt garuda indonesia persero tbk mengundang yang menarik muda enerjik bergabung bersama sebagai pramugari udara dapatkan kesenangan berkeliling dunia memperkenalkan keramahan indonesia jika berminat silahkan kirimkan surat cv lamaran via email recruitmentindonesiaasia kisaran gaji rp rp tergantung posisi,"['pt', 'garuda', 'indonesia', 'persero', 'tbk', 'mengundang', 'yang', 'menarik', 'muda', 'enerjik', 'bergabung', 'bersama', 'sebagai', 'pramugari', 'udara', 'dapatkan', 'kesenangan', 'berkeliling', 'dunia', 'memperkenalkan', 'keramahan', 'indonesia', 'jika', 'berminat', 'silahkan', 'kirimkan', 'surat', 'cv', 'lamaran', 'via', 'email', 'recruitmentindonesiaasia', 'kisaran', 'gaji', 'rp', 'rp', 'tergantung', 'posisi']",<FreqDist with 36 samples and 38 outcomes>,"['pt', 'garuda', 'indonesia', 'persero', 'tbk', 'undang', 'yang', 'tarik', 'muda', 'enerjik', 'gabung', 'sama', 'bagai', 'pramugari', 'udara', 'dapat', 'senang', 'keliling', 'dunia', 'kenal', 'ramah', 'indonesia', 'jika', 'minat', 'silah', 'kirim', 'surat', 'cv', 'lamar', 'via', 'email', 'recruitmentindonesiaasia', 'kisar', 'gaji', 'rp', 'rp', 'gantung', 'posisi']",-8,negative,-1
Rakyat Vietnam Usir Ribuan Warga Cina,"Kapan di negeri ini? Maukah kita kalah dari rakyat Vietnam, Filipina, dan Malaysia. Bahkan, di Hongkong, China diusir. Apakah kita tetap mau jadi jongos, budak, dan manusia-manusia terjajah?",kapan negeri maukah kalah rakyat vietnam filipina malaysia bahkan hongkong diusir kita tetap mau jadi jongos budak manusiamanusia terjajah,"['kapan', 'negeri', 'maukah', 'kalah', 'rakyat', 'vietnam', 'filipina', 'malaysia', 'bahkan', 'hongkong', 'diusir', 'kita', 'tetap', 'mau', 'jadi', 'jongos', 'budak', 'manusiamanusia', 'terjajah']",<FreqDist with 19 samples and 19 outcomes>,"['kapan', 'negeri', 'mau', 'kalah', 'rakyat', 'vietnam', 'filipina', 'malaysia', 'bahkan', 'hongkong', 'usir', 'kita', 'tetap', 'mau', 'jadi', 'jongos', 'budak', 'manusiamanusia', 'jajah']",5,positive,1
Ridwan Kamil akan Ditinggal Pemilih Religius pada Pilgub Jabar karena Mendukung LGBT,"Dukung LGBT, Ridwan Kamil siap Ditinggal Pemilih Relegius Pada PILKADA JAWA BARAT”",dukung lgbt ridwan kamil siap ditinggal pemilih relegius pilkada jawa barat ”,"['dukung', 'lgbt', 'ridwan', 'kamil', 'siap', 'ditinggal', 'pemilih', 'relegius', 'pilkada', 'jawa', 'barat', '”']",<FreqDist with 12 samples and 12 outcomes>,"['dukung', 'lgbt', 'ridwan', 'kamil', 'siap', 'tinggal', 'pilih', 'relegius', 'pilkada', 'jawa', 'barat', '']",4,positive,1
Ketika Emosi Dominasi Politik,"Ketika Emosi Dominasi Politik

",emosi dominasi politik,"['emosi', 'dominasi', 'politik']",<FreqDist with 3 samples and 3 outcomes>,"['emosi', 'dominasi', 'politik']",1,positive,1
"Bahasa Jepang Ike Dikonotasikan sebagai kata Komunis, Sipit, PKI dan LGBT","Awas! Untuk orang tua yang memiliki putra dan putri yang sudah remaja dan beranjak dewasa, bekali dan bentengi putra-putri Anda denga ilmu Agama jika tidak ingin putar-putri Anda terjerumus ke dalam jurang kehancuran yang salah satunya adalah “IKEH-IKEH”…
 Colek KOMUNIS
 Hmmm matanya sipit…!!!!!",awas orang tua memiliki putra putri sudah remaja beranjak dewasa bekali bentengi putraputri denga ilmu agama tidak putarputri terjerumus dalam jurang kehancuran salah satunya “ ikehikeh ” … colek komunis hmmm matanya sipit…,"['awas', 'orang', 'tua', 'memiliki', 'putra', 'putri', 'sudah', 'remaja', 'beranjak', 'dewasa', 'bekali', 'bentengi', 'putraputri', 'denga', 'ilmu', 'agama', 'tidak', 'putarputri', 'terjerumus', 'dalam', 'jurang', 'kehancuran', 'salah', 'satunya', '“', 'ikehikeh', '”', '…', 'colek', 'komunis', 'hmmm', 'matanya', 'sipit…']",<FreqDist with 33 samples and 33 outcomes>,"['awas', 'orang', 'tua', 'milik', 'putra', 'putri', 'sudah', 'remaja', 'anjak', 'dewasa', 'bekal', 'benteng', 'putraputri', 'denga', 'ilmu', 'agama', 'tidak', 'putarputri', 'jerumus', 'dalam', 'jurang', 'hancur', 'salah', 'satu', '', 'ikehikeh', '', '', 'colek', 'komunis', 'hmmm', 'mata', 'sipit']",-16,negative,-1
"Anies Kalah, Muslim Marah, Siap Revolusi","Tanpa rekam jejak yang bagus…
 Tanpa program yang nyata…
 Isu SARA lah yang jadi ujung tombak kampanye…
 Dan…
 TAK SIAP KALAH pulak….",rekam jejak bagus… program nyata… isu sara lah jadi ujung tombak kampanye… dan… tak siap kalah pulak…,"['rekam', 'jejak', 'bagus…', 'program', 'nyata…', 'isu', 'sara', 'lah', 'jadi', 'ujung', 'tombak', 'kampanye…', 'dan…', 'tak', 'siap', 'kalah', 'pulak…']",<FreqDist with 17 samples and 17 outcomes>,"['rekam', 'jejak', 'bagus', 'program', 'nyata', 'isu', 'sara', 'lah', 'jadi', 'ujung', 'tombak', 'kampanye', 'dan', 'tak', 'siap', 'kalah', 'pulak']",-12,negative,-1
Klarifikasi Penyebar Berita Detikcom Hoax,MEDIA ONLINE ( MEDIA DARING ),media online media daring,"['media', 'online', 'media', 'daring']",<FreqDist with 3 samples and 4 outcomes>,"['media', 'online', 'media', 'daring']",0,neutral,0
: FPI Bubarkan Pengobatan Gratis DPP PDI Perjuangan di Tambora,"Pasangan calon Gubernur dan Wakil Gubernur DKI Basuki-Djarot kembali menghadapi tindak kekerasan ketika melakukan kampanye. Kali ini dilakukan oleh sekelompok orang yang menggunakan atribut dan bendera keagamaan tertentu (beberapa diantaranya menggunakan topi bertuliskan FPI) menghentikan dengan paksa bhakti sosiaL berupa pengobatan gratis massal yang dilakukan Baguna (Badan Penanggulangan Bencana) DPP PDI Perjuangan di Kelurahan Jembatan Besi, Kecamatan Tambora, Minggu tanggal 15 Januari 2017.",pasangan calon gubernur wakil gubernur dki basukidjarot menghadapi tindak kekerasan melakukan kampanye kali dilakukan sekelompok orang menggunakan atribut bendera keagamaan tertentu beberapa diantaranya menggunakan topi bertuliskan fpi menghentikan paksa bhakti sosial berupa pengobatan gratis massal dilakukan baguna badan penanggulangan bencana dpp pdi perjuangan kelurahan jembatan besi kecamatan tambora minggu tanggal januari,"['pasangan', 'calon', 'gubernur', 'wakil', 'gubernur', 'dki', 'basukidjarot', 'menghadapi', 'tindak', 'kekerasan', 'melakukan', 'kampanye', 'kali', 'dilakukan', 'sekelompok', 'orang', 'menggunakan', 'atribut', 'bendera', 'keagamaan', 'tertentu', 'beberapa', 'diantaranya', 'menggunakan', 'topi', 'bertuliskan', 'fpi', 'menghentikan', 'paksa', 'bhakti', 'sosial', 'berupa', 'pengobatan', 'gratis', 'massal', 'dilakukan', 'baguna', 'badan', 'penanggulangan', 'bencana', 'dpp', 'pdi', 'perjuangan', 'kelurahan', 'jembatan', 'besi', 'kecamatan', 'tambora', 'minggu', 'tanggal', 'januari']",<FreqDist with 48 samples and 51 outcomes>,"['pasang', 'calon', 'gubernur', 'wakil', 'gubernur', 'dki', 'basukidjarot', 'hadap', 'tindak', 'keras', 'laku', 'kampanye', 'kali', 'laku', 'kelompok', 'orang', 'guna', 'atribut', 'bendera', 'agama', 'tentu', 'beberapa', 'antara', 'guna', 'topi', 'tulis', 'fpi', 'henti', 'paksa', 'bhakti', 'sosial', 'upa', 'obat', 'gratis', 'massal', 'laku', 'baguna', 'badan', 'tanggulang', 'bencana', 'dpp', 'pdi', 'juang', 'lurah', 'jembatan', 'besi', 'camat', 'tambora', 'minggu', 'tanggal', 'januari']",-22,negative,-1
: Logo Bank Indonesia Pecahan Seratus Ribu Terdapat Pada Bendera Tentara Komunis,Logo Bank Indonesia Pecahan Seratus Ribu Terdapat Pada Bendera Tentara Komunis,logo bank indonesia pecahan seratus ribu terdapat bendera tentara komunis,"['logo', 'bank', 'indonesia', 'pecahan', 'seratus', 'ribu', 'terdapat', 'bendera', 'tentara', 'komunis']",<FreqDist with 10 samples and 10 outcomes>,"['logo', 'bank', 'indonesia', 'pecah', 'ratus', 'ribu', 'dapat', 'bendera', 'tentara', 'komunis']",-3,negative,-1
Biskuit Crispy Crackers diklaim mengandung lilin karena mudah terbakar,(berupa vidio yang menjelaskan jika biskuit crispy crackers mengandung lilin karena sangat mudah terbakar),berupa vidio menjelaskan biskuit crispy crackers mengandung lilin sangat mudah terbakar,"['berupa', 'vidio', 'menjelaskan', 'biskuit', 'crispy', 'crackers', 'mengandung', 'lilin', 'sangat', 'mudah', 'terbakar']",<FreqDist with 11 samples and 11 outcomes>,"['upa', 'vidio', 'jelas', 'biskuit', 'crispy', 'crackers', 'kandung', 'lilin', 'sangat', 'mudah', 'bakar']",-6,negative,-1
Rokok Marlboro Berisi Ganja,Produsen rokok Phillip Morris mulai menjual jenis rokok yang menggandung ganja atau marijuana. Produk ini dipasarkan dengan jenis “MARLBORO M” dan tersedia di outlet khusus yang berlisensi di negara bagian Colorado dan Wshington DC.,produsen rokok phillip morris mulai menjual jenis rokok menggandung ganja marijuana produk dipasarkan jenis “ marlboro m ” tersedia outlet khusus berlisensi negara bagian colorado wshington dc,"['produsen', 'rokok', 'phillip', 'morris', 'mulai', 'menjual', 'jenis', 'rokok', 'menggandung', 'ganja', 'marijuana', 'produk', 'dipasarkan', 'jenis', '“', 'marlboro', 'm', '”', 'tersedia', 'outlet', 'khusus', 'berlisensi', 'negara', 'bagian', 'colorado', 'wshington', 'dc']",<FreqDist with 25 samples and 27 outcomes>,"['produsen', 'rokok', 'phillip', 'morris', 'mulai', 'jual', 'jenis', 'rokok', 'gandung', 'ganja', 'marijuana', 'produk', 'pasar', 'jenis', '', 'marlboro', 'm', '', 'sedia', 'outlet', 'khusus', 'lisensi', 'negara', 'bagi', 'colorado', 'wshington', 'dc']",-7,negative,-1
5G antenna in your mask,5G antenna inside of your masks,antenna inside of your masks,"['antenna', 'inside', 'of', 'your', 'masks']",<FreqDist with 5 samples and 5 outcomes>,"['antenna', 'inside', 'of', 'your', 'masks']",0,neutral,0
PKS menolak apa bersandiwara?,PKS menolak apa bersandiwara?,pks menolak apa bersandiwara,"['pks', 'menolak', 'apa', 'bersandiwara']",<FreqDist with 4 samples and 4 outcomes>,"['pks', 'tolak', 'apa', 'sandiwara']",-7,negative,-1
Di Jerman tiba2 terdapat *awan hitam tedengar suara adzan sedangkan lingkungan sekitar tdk ada masjid,"Di Jerman secara tiba2 terdapat *awan hitam dan tedengar suara orang adzan, sedangkan lingkungan sekitar tdk ada masjid… Orang2 yg kebetulan lewat di lokasi itu semuanya nonton sambil mengambil gambar awan dan merekam suara adzan tsb… Silahkan saksikan…",jerman tiba terdapat awan hitam tedengar suara orang adzan lingkungan tdk masjid… orang kebetulan lewat lokasi semuanya nonton mengambil gambar awan merekam suara adzan tsb… silahkan saksikan…,"['jerman', 'tiba', 'terdapat', 'awan', 'hitam', 'tedengar', 'suara', 'orang', 'adzan', 'lingkungan', 'tdk', 'masjid…', 'orang', 'kebetulan', 'lewat', 'lokasi', 'semuanya', 'nonton', 'mengambil', 'gambar', 'awan', 'merekam', 'suara', 'adzan', 'tsb…', 'silahkan', 'saksikan…']",<FreqDist with 23 samples and 27 outcomes>,"['jerman', 'tiba', 'dapat', 'awan', 'hitam', 'tedengar', 'suara', 'orang', 'adzan', 'lingkung', 'tdk', 'masjid', 'orang', 'betul', 'lewat', 'lokasi', 'semua', 'nonton', 'ambil', 'gambar', 'awan', 'rekam', 'suara', 'adzan', 'tsb', 'silah', 'saksi']",5,positive,1
"Di film kapten amerika, capten steve bangun pada masa modern dan kamu bisa lihat virus corona","Di fi kapten amerika, capten steve bangun pada masa modern dan kamu bisa lihat virus corona Repost @marvel2k19__ • • • • • • Follow me for more #anthonymackie #sebastianstan #wyattrussell #zemo #disneyplus #thefalconandthewintersoldier #thanosdidnothingwrong #blackpanther2 #avengers #endgame #infinitywar #chrisevans #chrishemsworth #captainamerica #thor #falconandthewintersoldier #hawkeye #infintywar #marvelindonesia #marvelindo #konspirasi",fi kapten amerika capten steve bangun masa modern kamu lihat virus corona repost • • • follow me for more anthonymackie sebastianstan wyattrussell zemo disneyplus thefalconandthewintersoldier thanosdidnothingwrong blackpanther avengers endgame infinitywar chrisevans chrishemsworth captainamerica thor falconandthewintersoldier hawkeye infintywar marvelindonesia marvelindo konspirasi,"['fi', 'kapten', 'amerika', 'capten', 'steve', 'bangun', 'masa', 'modern', 'kamu', 'lihat', 'virus', 'corona', 'repost', '•', '•', '•', 'follow', 'me', 'for', 'more', 'anthonymackie', 'sebastianstan', 'wyattrussell', 'zemo', 'disneyplus', 'thefalconandthewintersoldier', 'thanosdidnothingwrong', 'blackpanther', 'avengers', 'endgame', 'infinitywar', 'chrisevans', 'chrishemsworth', 'captainamerica', 'thor', 'falconandthewintersoldier', 'hawkeye', 'infintywar', 'marvelindonesia', 'marvelindo', 'konspirasi']",<FreqDist with 39 samples and 41 outcomes>,"['fi', 'kapten', 'amerika', 'capten', 'steve', 'bangun', 'masa', 'modern', 'kamu', 'lihat', 'virus', 'corona', 'repost', '', '', '', 'follow', 'me', 'for', 'more', 'anthonymackie', 'sebastianstan', 'wyattrussell', 'zemo', 'disneyplus', 'thefalconandthewintersoldier', 'thanosdidnothingwrong', 'blackpanther', 'avengers', 'endgame', 'infinitywar', 'chrisevans', 'chrishemsworth', 'captainamerica', 'thor', 'falconandthewintersoldier', 'hawkeye', 'infintywar', 'marvelindonesia', 'marvelindo', 'konspirasi']",6,positive,1
Katanya jaga jarak mutusin matarantai eh kok konser malah rame dan doi datang lagi,Katanya jaga jarak mutusin matarantai eh kok konser malah rame dan doi datang lagi Aduh..piye iki piye toh…,katanya jaga jarak mutusin matarantai eh kok konser malah rame doi datang aduhpiye iki piye toh…,"['katanya', 'jaga', 'jarak', 'mutusin', 'matarantai', 'eh', 'kok', 'konser', 'malah', 'rame', 'doi', 'datang', 'aduhpiye', 'iki', 'piye', 'toh…']",<FreqDist with 16 samples and 16 outcomes>,"['kata', 'jaga', 'jarak', 'mutusin', 'matarantai', 'eh', 'kok', 'konser', 'malah', 'rame', 'doi', 'datang', 'aduhpiye', 'iki', 'piye', 'toh']",-12,negative,-1
Menag Izinkan Masjid Gelar Salat Tarawih Saat Pandemi Covid-19,"Menteri Agama Fahrur Rozi mengizinkan masjid2 untuk melaksanakan sholat tarawih, buka puasa bersama dll di bulan Ramadan tahun ini dengan tetap menjaga kebersihan dan kewaspadaan.”",menteri agama fahrur rozi mengizinkan masjid melaksanakan sholat tarawih buka puasa bersama di bulan ramadan tahun dengan tetap menjaga kebersihan kewaspadaan ”,"['menteri', 'agama', 'fahrur', 'rozi', 'mengizinkan', 'masjid', 'melaksanakan', 'sholat', 'tarawih', 'buka', 'puasa', 'bersama', 'di', 'bulan', 'ramadan', 'tahun', 'dengan', 'tetap', 'menjaga', 'kebersihan', 'kewaspadaan', '”']",<FreqDist with 22 samples and 22 outcomes>,"['menteri', 'agama', 'fahrur', 'rozi', 'izin', 'masjid', 'laksana', 'sholat', 'tarawih', 'buka', 'puasa', 'sama', 'di', 'bulan', 'ramadan', 'tahun', 'dengan', 'tetap', 'jaga', 'bersih', 'waspada', '']",5,positive,1
